code_module,code_presentation,id_student,final_result,total_clicks,avg_score,missing_assessment_count,late_submission_count,low_engagement_flag,low_score_flag,missing_assessment_flag,at_risk_indicator,risk_reason_count,risk_reason_summary
AAA,2013J,148993,Withdrawn,1864,72.0,2,3,0,0,1,1,1,Missing Assessment
AAA,2013J,151358,Pass,270,50.0,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,155550,Pass,1529,67.0,0,1,0,0,0,0,0,No Flag
AAA,2013J,155854,Pass,4003,79.8,0,0,0,0,0,0,0,No Flag
AAA,2013J,155984,Withdrawn,908,80.0,3,1,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,157568,Pass,1405,70.6,0,3,0,0,0,0,0,No Flag
AAA,2013J,159954,Withdrawn,1185,66.5,3,1,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,164259,Pass,466,71.8,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,167906,Pass,1510,69.4,0,2,0,0,0,0,0,No Flag
AAA,2013J,168936,Pass,745,66.4,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,172112,Pass,1939,69.6,0,3,0,0,0,0,0,No Flag
AAA,2013J,172797,Pass,1782,61.4,0,2,0,0,0,0,0,No Flag
AAA,2013J,174782,Pass,6318,80.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,175392,Pass,4447,82.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,175932,Pass,2016,78.2,0,2,0,0,0,0,0,No Flag
AAA,2013J,175991,Fail,138,37.6,0,2,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,180753,Pass,2012,53.4,0,0,0,1,0,1,1,Low Score
AAA,2013J,181316,Withdrawn,487,76.0,4,1,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,183096,Pass,1975,54.0,0,1,0,1,0,1,1,Low Score
AAA,2013J,183947,Pass,964,49.0,0,2,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,184271,Pass,1312,59.8,0,0,0,1,0,1,1,Low Score
AAA,2013J,185439,Fail,427,74.0,4,1,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,186149,Pass,2136,76.0,0,4,0,0,0,0,0,No Flag
AAA,2013J,187100,Distinction,8562,89.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,188278,Withdrawn,1434,76.0,4,0,0,0,1,1,1,Missing Assessment
AAA,2013J,189879,Pass,1541,79.4,0,1,0,0,0,0,0,No Flag
AAA,2013J,192183,Pass,3219,68.4,0,1,0,0,0,0,0,No Flag
AAA,2013J,195262,Withdrawn,1905,50.0,4,1,0,1,1,1,2,Low Score; Missing Assessment
AAA,2013J,200860,Pass,534,54.4,0,1,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,202635,Withdrawn,1418,66.67,2,3,0,0,1,1,1,Missing Assessment
AAA,2013J,205350,Pass,1665,72.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,205719,Fail,333,56.67,2,2,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,227499,Distinction,2953,83.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,227517,Fail,1205,62.6,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,228082,Pass,227,72.4,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,228222,Pass,445,61.8,0,3,1,0,0,1,1,Low Engagement
AAA,2013J,229179,Pass,614,66.0,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,229361,Pass,1215,78.0,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,231554,Pass,1839,67.75,1,2,0,0,1,1,1,Missing Assessment
AAA,2013J,235507,Withdrawn,190,65.0,4,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,236284,Pass,732,78.0,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,238007,Pass,1935,79.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,240712,Pass,321,75.8,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,240884,Pass,427,58.4,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,241649,Pass,1892,78.8,0,0,0,0,0,0,0,No Flag
AAA,2013J,241729,Fail,1829,58.6,0,1,0,1,0,1,1,Low Score
AAA,2013J,242793,Pass,658,77.4,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,246834,Pass,1174,55.6,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,248270,Pass,1969,78.4,0,3,0,0,0,0,0,No Flag
AAA,2013J,255548,Pass,2580,71.4,0,4,0,0,0,0,0,No Flag
AAA,2013J,256815,Pass,1481,76.8,0,3,0,0,0,0,0,No Flag
AAA,2013J,258392,Pass,844,58.8,0,2,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,258894,Pass,4963,64.8,0,2,0,0,0,0,0,No Flag
AAA,2013J,260355,Withdrawn,426,57.5,3,3,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,262011,Pass,1066,71.0,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,262934,Pass,2407,76.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,268073,Fail,3210,74.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,268733,Withdrawn,188,43.0,3,2,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,271251,Pass,3348,76.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,277880,Withdrawn,2016,67.67,2,3,0,0,1,1,1,Missing Assessment
AAA,2013J,279572,Distinction,1183,79.2,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,281022,Pass,492,73.4,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,281250,Fail,130,55.4,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,281589,Fail,59,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,282821,Pass,1961,60.6,0,3,0,0,0,0,0,No Flag
AAA,2013J,286488,Pass,1046,71.0,0,3,1,0,0,1,1,Low Engagement
AAA,2013J,287548,Pass,483,67.8,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,290201,Pass,1740,70.4,0,1,0,0,0,0,0,No Flag
AAA,2013J,290757,Pass,652,75.0,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,291334,Distinction,5231,83.6,0,1,0,0,0,0,0,No Flag
AAA,2013J,292923,Withdrawn,0,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,293699,Pass,187,46.75,1,2,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,294570,Pass,1775,78.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,294594,Pass,865,52.8,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,295741,Fail,709,50.2,0,1,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,296332,Distinction,2152,86.8,0,0,0,0,0,0,0,No Flag
AAA,2013J,298696,Pass,514,80.8,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,300398,Pass,1997,78.8,0,1,0,0,0,0,0,No Flag
AAA,2013J,302302,Fail,513,58.67,2,1,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,305152,Fail,146,64.0,4,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,305386,Pass,1277,78.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,305539,Withdrawn,68,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,306107,Pass,987,58.2,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,306466,Pass,1220,82.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,306897,Pass,2742,62.6,0,1,0,0,0,0,0,No Flag
AAA,2013J,307061,Pass,1081,81.2,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,307866,Pass,1476,60.0,1,1,0,0,1,1,1,Missing Assessment
AAA,2013J,311917,Pass,2230,59.2,0,1,0,1,0,1,1,Low Score
AAA,2013J,312537,Distinction,12882,87.8,0,0,0,0,0,0,0,No Flag
AAA,2013J,312782,Pass,281,61.8,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,318933,Pass,1281,66.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,319047,Pass,6589,78.4,0,1,0,0,0,0,0,No Flag
AAA,2013J,321942,Pass,10083,80.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,324002,Pass,1901,80.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,324084,Pass,1961,57.6,0,1,0,1,0,1,1,Low Score
AAA,2013J,324282,Pass,133,61.2,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,331358,Withdrawn,2376,84.0,4,0,0,0,1,1,1,Missing Assessment
AAA,2013J,332789,Pass,1655,74.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,333059,Pass,301,65.8,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,333323,Pass,648,74.4,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,334259,Fail,332,53.0,3,1,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,334333,Withdrawn,303,36.0,4,0,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,335764,Withdrawn,2286,86.33,2,1,0,0,1,1,1,Missing Assessment
AAA,2013J,336207,Pass,1316,68.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,339972,Pass,333,49.8,0,1,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,341872,Fail,201,64.2,0,3,1,0,0,1,1,Low Engagement
AAA,2013J,342007,Withdrawn,880,75.0,4,1,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,342514,Pass,1950,77.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,342972,Pass,838,60.4,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,343446,Pass,3644,78.4,0,2,0,0,0,0,0,No Flag
AAA,2013J,344282,Fail,65,49.2,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,345068,Pass,547,78.0,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,345357,Distinction,2219,80.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,346025,Pass,569,82.4,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,346843,Fail,164,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,350188,Pass,761,73.8,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,354858,Withdrawn,198,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,357668,Fail,166,57.0,2,0,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,364177,Fail,821,69.0,1,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,365244,Pass,891,56.4,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,365642,Pass,2129,70.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,366483,Pass,1465,76.8,0,0,0,0,0,0,0,No Flag
AAA,2013J,368194,Pass,437,50.4,0,2,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,368824,Fail,292,55.6,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,368963,Pass,677,66.4,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,376439,Distinction,2342,87.0,0,1,0,0,0,0,0,No Flag
AAA,2013J,376581,Pass,2333,72.8,0,2,0,0,0,0,0,No Flag
AAA,2013J,380953,Pass,1062,67.8,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,383254,Pass,543,75.6,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,386924,Pass,164,67.8,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,386952,Pass,910,68.0,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,388722,Pass,671,63.8,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,388885,Pass,875,60.6,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,390890,Withdrawn,639,69.67,2,2,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,392756,Fail,363,45.0,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,392931,Pass,3003,68.4,0,3,0,0,0,0,0,No Flag
AAA,2013J,393207,Pass,876,74.2,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,396872,Pass,996,61.4,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,398552,Fail,1183,46.4,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,401869,Pass,955,65.0,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,402470,Pass,1445,72.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,404804,Pass,509,43.8,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,405088,Pass,1388,77.2,0,1,0,0,0,0,0,No Flag
AAA,2013J,405961,Withdrawn,0,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,414117,Pass,807,76.4,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,415969,Withdrawn,1359,59.67,2,3,0,1,1,1,2,Low Score; Missing Assessment
AAA,2013J,420087,Fail,342,76.0,2,3,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,429958,Pass,411,58.4,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,441018,Pass,646,59.8,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,441888,Pass,739,70.6,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,442442,Withdrawn,1009,40.5,3,0,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,444677,Distinction,1241,87.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,470588,Withdrawn,400,86.0,4,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,489455,Pass,2832,70.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,494424,Fail,58,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,495284,Pass,901,66.6,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,498857,Pass,998,73.0,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,508818,Pass,1129,71.8,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,512460,Pass,521,72.4,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,544103,Pass,2328,81.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,550383,Pass,910,72.0,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,564450,Fail,224,59.2,0,0,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,568601,Withdrawn,488,81.5,3,1,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,572652,Pass,780,73.2,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,580389,Pass,1271,71.4,0,1,0,0,0,0,0,No Flag
AAA,2013J,581129,Fail,194,40.0,3,0,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,588775,Pass,7067,82.8,0,0,0,0,0,0,0,No Flag
AAA,2013J,591774,Pass,605,76.2,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,603861,Withdrawn,955,63.0,0,3,1,0,0,1,1,Low Engagement
AAA,2013J,606143,Fail,406,66.0,3,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,704156,Pass,3064,66.0,0,1,0,0,0,0,0,No Flag
AAA,2013J,705379,Distinction,5680,80.8,0,1,0,0,0,0,0,No Flag
AAA,2013J,721259,Withdrawn,1228,,5,1,0,0,1,1,1,Missing Assessment
AAA,2013J,749412,Pass,4007,72.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,760729,Distinction,7288,81.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,905042,Pass,3004,76.4,0,1,0,0,0,0,0,No Flag
AAA,2013J,949618,Pass,1357,61.8,0,0,0,0,0,0,0,No Flag
AAA,2013J,958987,Pass,1216,77.2,0,1,0,0,0,0,0,No Flag
AAA,2013J,968578,Pass,870,72.0,0,3,1,0,0,1,1,Low Engagement
AAA,2013J,969076,Withdrawn,1980,59.75,1,0,0,1,1,1,2,Low Score; Missing Assessment
AAA,2013J,971027,Pass,3098,68.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,978739,Pass,5988,56.6,0,1,0,1,0,1,1,Low Score
AAA,2013J,1035023,Pass,1896,70.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,1105478,Pass,1695,82.6,0,2,0,0,0,0,0,No Flag
AAA,2013J,1352868,Withdrawn,641,65.5,3,1,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,1401935,Fail,240,35.0,3,2,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,1402638,Pass,910,75.2,0,5,1,0,0,1,1,Low Engagement
AAA,2013J,1414443,Fail,1907,59.0,3,2,0,1,1,1,2,Low Score; Missing Assessment
AAA,2013J,1456619,Withdrawn,467,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,1465690,Pass,3460,81.8,0,0,0,0,0,0,0,No Flag
AAA,2013J,1472925,Fail,939,61.6,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,1488959,Pass,3493,61.8,0,4,0,0,0,0,0,No Flag
AAA,2013J,1518989,Pass,4202,73.0,0,1,0,0,0,0,0,No Flag
AAA,2013J,1618738,Pass,723,79.6,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,1620151,Fail,998,77.5,3,1,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,1626710,Distinction,6025,84.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,1640609,Pass,5061,85.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,1686521,Withdrawn,643,68.0,4,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,1729319,Pass,2756,78.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,1746134,Pass,1759,83.8,0,0,0,0,0,0,0,No Flag
AAA,2013J,1758449,Withdrawn,2756,61.0,3,0,0,0,1,1,1,Missing Assessment
AAA,2013J,1763015,Withdrawn,420,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,1765788,Pass,7057,66.2,0,3,0,0,0,0,0,No Flag
AAA,2013J,1801229,Pass,1443,76.8,0,2,0,0,0,0,0,No Flag
AAA,2013J,1801641,Pass,459,77.4,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,1847830,Pass,6518,71.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,1860318,Pass,5975,62.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,1889511,Pass,1754,72.0,0,2,0,0,0,0,0,No Flag
AAA,2013J,1889577,Pass,931,73.6,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,1894188,Pass,4294,70.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,1938355,Pass,1992,73.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,1942396,Pass,470,53.6,0,2,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,1970390,Withdrawn,11139,83.6,0,5,0,0,0,0,0,No Flag
AAA,2013J,1976139,Pass,1216,67.25,1,0,0,0,1,1,1,Missing Assessment
AAA,2013J,2011876,Pass,1401,76.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,2012966,Pass,519,78.4,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,2051699,Pass,1734,66.6,0,2,0,0,0,0,0,No Flag
AAA,2013J,2062879,Fail,2386,61.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,2065691,Withdrawn,1430,35.67,2,1,0,1,1,1,2,Low Score; Missing Assessment
AAA,2013J,2073016,Withdrawn,849,60.33,2,2,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,2080474,Pass,1146,69.6,0,1,1,0,0,1,1,Low Engagement
AAA,2013J,2083877,Pass,685,67.8,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,2084066,Fail,1967,59.75,1,4,0,1,1,1,2,Low Score; Missing Assessment
AAA,2013J,2104505,Pass,701,65.6,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,2122180,Distinction,4712,82.4,0,3,0,0,0,0,0,No Flag
AAA,2013J,2139353,Withdrawn,1262,66.0,2,3,0,0,1,1,1,Missing Assessment
AAA,2013J,2143752,Pass,1888,52.6,0,0,0,1,0,1,1,Low Score
AAA,2013J,2146792,Pass,2385,70.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,2149225,Withdrawn,319,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,2153153,Pass,3385,62.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,2155014,Pass,1454,73.8,0,3,0,0,0,0,0,No Flag
AAA,2013J,2164705,Fail,231,70.0,4,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,2171627,Pass,1346,69.0,0,1,0,0,0,0,0,No Flag
AAA,2013J,2182846,Pass,4214,66.0,0,0,0,0,0,0,0,No Flag
AAA,2013J,2194100,Pass,1401,67.2,0,0,0,0,0,0,0,No Flag
AAA,2013J,2197016,Pass,1455,75.6,0,0,0,0,0,0,0,No Flag
AAA,2013J,2208424,Pass,1080,71.2,0,0,1,0,0,1,1,Low Engagement
AAA,2013J,2229865,Pass,3236,76.4,0,0,0,0,0,0,0,No Flag
AAA,2013J,2255601,Withdrawn,2543,54.5,3,1,0,1,1,1,2,Low Score; Missing Assessment
AAA,2013J,2268379,Pass,1685,83.0,0,2,0,0,0,0,0,No Flag
AAA,2013J,2278464,Pass,307,51.4,0,2,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,2293923,Pass,303,61.2,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,2312620,Withdrawn,1129,32.0,2,2,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,2318055,Withdrawn,0,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,2324976,Withdrawn,0,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,2329342,Pass,565,57.2,0,2,1,1,0,1,2,Low Engagement; Low Score
AAA,2013J,2339528,Distinction,593,80.0,0,2,1,0,0,1,1,Low Engagement
AAA,2013J,2342426,Fail,1814,73.2,0,2,0,0,0,0,0,No Flag
AAA,2013J,2344901,Fail,445,51.5,1,1,1,1,1,1,3,Low Engagement; Low Score; Missing Assessment
AAA,2013J,2358056,Fail,1588,67.8,0,1,0,0,0,0,0,No Flag
AAA,2013J,2358969,Withdrawn,373,68.0,4,0,1,0,1,1,2,Low Engagement; Missing Assessment
AAA,2013J,2364471,Pass,7182,83.4,0,5,0,0,0,0,0,No Flag
AAA,2013J,2365101,Withdrawn,0,,5,0,1,0,1,1,2,Low Engagement; Missing Assessment
