code_module,code_presentation,id_student,total_clicks,active_days,unique_sites_visited,avg_clicks_per_active_day,engagement_bucket
AAA,2013J,227499,2953,162,86,18.23,High
AAA,2013J,227517,1205,69,59,17.46,Low
AAA,2013J,228082,227,37,24,6.14,Low
AAA,2013J,228222,445,38,45,11.71,Low
AAA,2013J,229179,614,50,45,12.28,Low
AAA,2013J,229361,1215,123,52,9.88,Low
AAA,2013J,231554,1839,86,67,21.38,Medium
AAA,2013J,235507,190,21,24,9.05,Low
AAA,2013J,236284,732,41,56,17.85,Low
AAA,2013J,238007,1935,162,92,11.94,Medium
AAA,2013J,240712,321,26,33,12.35,Low
AAA,2013J,240884,427,44,48,9.7,Low
AAA,2013J,241649,1892,135,77,14.01,Medium
AAA,2013J,241729,1829,117,77,15.63,Medium
AAA,2013J,242793,658,56,82,11.75,Low
AAA,2013J,246834,1174,68,50,17.26,Low
AAA,2013J,248270,1969,193,64,10.2,Medium
AAA,2013J,255548,2580,166,77,15.54,High
AAA,2013J,256815,1481,139,79,10.65,Medium
AAA,2013J,258392,844,53,63,15.92,Low
AAA,2013J,258894,4963,204,85,24.33,High
AAA,2013J,260355,426,43,35,9.91,Low
AAA,2013J,262011,1066,69,49,15.45,Low
AAA,2013J,262934,2407,119,71,20.23,Medium
AAA,2013J,268073,3210,116,88,27.67,High
AAA,2013J,268733,188,18,14,10.44,Low
AAA,2013J,271251,3348,128,93,26.16,High
AAA,2013J,277880,2016,78,63,25.85,Medium
AAA,2013J,279572,1183,63,57,18.78,Low
AAA,2013J,281022,492,49,45,10.04,Low
AAA,2013J,281250,130,15,24,8.67,Low
AAA,2013J,281589,59,8,12,7.38,Low
AAA,2013J,282821,1961,87,69,22.54,Medium
AAA,2013J,286488,1046,68,76,15.38,Low
AAA,2013J,287548,483,47,53,10.28,Low
AAA,2013J,290201,1740,108,65,16.11,Medium
AAA,2013J,290757,652,33,37,19.76,Low
AAA,2013J,291334,5231,229,99,22.84,High
AAA,2013J,292923,0,0,0,0.0,No Activity
AAA,2013J,293699,187,28,35,6.68,Low
AAA,2013J,294570,1775,119,85,14.92,Medium
AAA,2013J,294594,865,94,52,9.2,Low
AAA,2013J,295741,709,87,50,8.15,Low
AAA,2013J,296332,2152,124,91,17.35,Medium
AAA,2013J,298696,514,58,44,8.86,Low
AAA,2013J,300398,1997,108,55,18.49,Medium
AAA,2013J,302302,513,24,42,21.38,Low
AAA,2013J,305152,146,11,17,13.27,Low
AAA,2013J,305386,1277,85,81,15.02,Medium
AAA,2013J,305539,68,6,13,11.33,Low
AAA,2013J,306107,987,81,63,12.19,Low
AAA,2013J,306466,1220,110,68,11.09,Medium
AAA,2013J,306897,2742,189,83,14.51,High
AAA,2013J,307061,1081,87,69,12.43,Low
AAA,2013J,307866,1476,76,74,19.42,Medium
AAA,2013J,311917,2230,145,84,15.38,Medium
AAA,2013J,312537,12882,271,111,47.54,High
AAA,2013J,312782,281,46,30,6.11,Low
AAA,2013J,318933,1281,106,66,12.08,Medium
AAA,2013J,319047,6589,232,104,28.4,High
AAA,2013J,321942,10083,239,102,42.19,High
AAA,2013J,324002,1901,122,80,15.58,Medium
AAA,2013J,324084,1961,110,81,17.83,Medium
AAA,2013J,324282,133,38,23,3.5,Low
AAA,2013J,331358,2376,45,109,52.8,Medium
AAA,2013J,332789,1655,72,69,22.99,Medium
AAA,2013J,333059,301,31,39,9.71,Low
AAA,2013J,333323,648,36,45,18.0,Low
AAA,2013J,334259,332,27,30,12.3,Low
AAA,2013J,334333,303,33,23,9.18,Low
AAA,2013J,335764,2286,106,57,21.57,Medium
AAA,2013J,336207,1316,111,66,11.86,Medium
AAA,2013J,339972,333,33,28,10.09,Low
AAA,2013J,341872,201,35,25,5.74,Low
AAA,2013J,342007,880,38,37,23.16,Low
AAA,2013J,342514,1950,98,74,19.9,Medium
AAA,2013J,342972,838,72,62,11.64,Low
AAA,2013J,343446,3644,173,104,21.06,High
AAA,2013J,344282,65,18,14,3.61,Low
AAA,2013J,345068,547,51,50,10.73,Low
AAA,2013J,345357,2219,134,79,16.56,Medium
AAA,2013J,346025,569,103,34,5.52,Low
AAA,2013J,346843,164,8,17,20.5,Low
AAA,2013J,350188,761,78,50,9.76,Low
AAA,2013J,354858,198,7,23,28.29,Low
AAA,2013J,357668,166,27,23,6.15,Low
AAA,2013J,364177,821,63,47,13.03,Low
AAA,2013J,365244,891,78,72,11.42,Low
AAA,2013J,365642,2129,148,85,14.39,Medium
AAA,2013J,366483,1465,129,63,11.36,Medium
AAA,2013J,368194,437,32,46,13.66,Low
AAA,2013J,368824,292,25,27,11.68,Low
AAA,2013J,368963,677,52,65,13.02,Low
AAA,2013J,376439,2342,154,60,15.21,Medium
AAA,2013J,376581,2333,124,85,18.81,Medium
AAA,2013J,380953,1062,97,55,10.95,Low
AAA,2013J,383254,543,91,38,5.97,Low
AAA,2013J,386924,164,31,26,5.29,Low
AAA,2013J,386952,910,114,60,7.98,Low
AAA,2013J,388722,671,57,46,11.77,Low
AAA,2013J,388885,875,50,59,17.5,Low
AAA,2013J,390890,639,50,41,12.78,Low
AAA,2013J,392756,363,44,47,8.25,Low
AAA,2013J,392931,3003,177,81,16.97,High
AAA,2013J,393207,876,50,57,17.52,Low
AAA,2013J,396872,996,70,61,14.23,Low
AAA,2013J,398552,1183,87,85,13.6,Low
AAA,2013J,401869,955,90,60,10.61,Low
AAA,2013J,402470,1445,83,59,17.41,Medium
AAA,2013J,404804,509,26,44,19.58,Low
AAA,2013J,405088,1388,87,68,15.95,Medium
AAA,2013J,405961,0,0,0,0.0,No Activity
AAA,2013J,414117,807,105,60,7.69,Low
AAA,2013J,415969,1359,49,58,27.73,Medium
AAA,2013J,420087,342,27,48,12.67,Low
AAA,2013J,429958,411,25,43,16.44,Low
AAA,2013J,441018,646,50,53,12.92,Low
AAA,2013J,441888,739,43,59,17.19,Low
AAA,2013J,442442,1009,49,54,20.59,Low
AAA,2013J,444677,1241,140,84,8.86,Medium
AAA,2013J,470588,400,16,24,25.0,Low
AAA,2013J,489455,2832,131,76,21.62,High
AAA,2013J,494424,58,2,14,29.0,Low
AAA,2013J,495284,901,78,57,11.55,Low
AAA,2013J,498857,998,88,64,11.34,Low
AAA,2013J,508818,1129,61,41,18.51,Low
AAA,2013J,512460,521,58,55,8.98,Low
AAA,2013J,544103,2328,112,85,20.79,Medium
AAA,2013J,550383,910,66,46,13.79,Low
AAA,2013J,564450,224,32,26,7.0,Low
AAA,2013J,568601,488,17,29,28.71,Low
AAA,2013J,572652,780,42,59,18.57,Low
AAA,2013J,580389,1271,50,62,25.42,Medium
AAA,2013J,581129,194,19,25,10.21,Low
AAA,2013J,588775,7067,259,96,27.29,High
AAA,2013J,591774,605,36,80,16.81,Low
AAA,2013J,603861,955,68,55,14.04,Low
AAA,2013J,606143,406,34,33,11.94,Low
AAA,2013J,704156,3064,131,100,23.39,High
AAA,2013J,705379,5680,226,114,25.13,High
AAA,2013J,721259,1228,27,43,45.48,Medium
AAA,2013J,749412,4007,187,91,21.43,High
AAA,2013J,760729,7288,229,101,31.83,High
AAA,2013J,905042,3004,166,79,18.1,High
AAA,2013J,949618,1357,94,90,14.44,Medium
AAA,2013J,958987,1216,102,59,11.92,Medium
AAA,2013J,968578,870,66,61,13.18,Low
AAA,2013J,969076,1980,135,59,14.67,Medium
AAA,2013J,971027,3098,158,91,19.61,High
AAA,2013J,978739,5988,176,104,34.02,High
AAA,2013J,1035023,1896,150,83,12.64,Medium
AAA,2013J,1105478,1695,125,62,13.56,Medium
AAA,2013J,1352868,641,36,38,17.81,Low
AAA,2013J,1401935,240,24,26,10.0,Low
AAA,2013J,1402638,910,75,67,12.13,Low
AAA,2013J,1414443,1907,43,91,44.35,Medium
AAA,2013J,1456619,467,22,36,21.23,Low
AAA,2013J,1465690,3460,165,112,20.97,High
AAA,2013J,1472925,939,47,55,19.98,Low
AAA,2013J,1488959,3493,155,76,22.54,High
AAA,2013J,1518989,4202,133,77,31.59,High
AAA,2013J,1618738,723,19,68,38.05,Low
AAA,2013J,1620151,998,44,55,22.68,Low
AAA,2013J,1626710,6025,215,112,28.02,High
AAA,2013J,1640609,5061,227,90,22.3,High
AAA,2013J,1686521,643,29,35,22.17,Low
AAA,2013J,1729319,2756,124,80,22.23,High
AAA,2013J,1746134,1759,75,99,23.45,Medium
AAA,2013J,1758449,2756,75,67,36.75,High
AAA,2013J,1763015,420,3,17,140.0,Low
AAA,2013J,1765788,7057,224,127,31.5,High
AAA,2013J,1801229,1443,86,81,16.78,Medium
AAA,2013J,1801641,459,41,49,11.2,Low
AAA,2013J,1847830,6518,238,87,27.39,High
AAA,2013J,1860318,5975,228,93,26.21,High
AAA,2013J,1889511,1754,99,76,17.72,Medium
AAA,2013J,1889577,931,63,67,14.78,Low
AAA,2013J,1894188,4294,120,80,35.78,High
AAA,2013J,1938355,1992,147,89,13.55,Medium
AAA,2013J,1942396,470,47,40,10.0,Low
AAA,2013J,1970390,11139,219,111,50.86,High
AAA,2013J,1976139,1216,60,75,20.27,Medium
AAA,2013J,2011876,1401,81,78,17.3,Medium
AAA,2013J,2012966,519,39,49,13.31,Low
AAA,2013J,2051699,1734,94,69,18.45,Medium
AAA,2013J,2062879,2386,145,85,16.46,Medium
AAA,2013J,2065691,1430,34,47,42.06,Medium
AAA,2013J,2073016,849,62,56,13.69,Low
AAA,2013J,2080474,1146,78,74,14.69,Low
AAA,2013J,2083877,685,65,44,10.54,Low
AAA,2013J,2084066,1967,87,65,22.61,Medium
AAA,2013J,2104505,701,53,54,13.23,Low
AAA,2013J,2122180,4712,170,105,27.72,High
AAA,2013J,2139353,1262,82,64,15.39,Medium
AAA,2013J,2143752,1888,83,69,22.75,Medium
AAA,2013J,2146792,2385,188,91,12.69,Medium
AAA,2013J,2149225,319,8,41,39.88,Low
AAA,2013J,2153153,3385,110,92,30.77,High
AAA,2013J,2155014,1454,56,67,25.96,Medium
AAA,2013J,2164705,231,11,27,21.0,Low
AAA,2013J,2171627,1346,73,83,18.44,Medium
AAA,2013J,2182846,4214,164,91,25.7,High
AAA,2013J,2194100,1401,95,50,14.75,Medium
AAA,2013J,2197016,1455,72,79,20.21,Medium
AAA,2013J,2208424,1080,69,76,15.65,Low
AAA,2013J,2229865,3236,168,116,19.26,High
AAA,2013J,2255601,2543,82,87,31.01,High
AAA,2013J,2268379,1685,118,79,14.28,Medium
AAA,2013J,2278464,307,33,36,9.3,Low
AAA,2013J,2293923,303,24,32,12.63,Low
AAA,2013J,2312620,1129,44,81,25.66,Low
AAA,2013J,2318055,0,0,0,0.0,No Activity
AAA,2013J,2324976,0,0,0,0.0,No Activity
AAA,2013J,2329342,565,36,53,15.69,Low
AAA,2013J,2339528,593,28,50,21.18,Low
AAA,2013J,2342426,1814,107,78,16.95,Medium
AAA,2013J,2344901,445,30,37,14.83,Low
AAA,2013J,2358056,1588,123,93,12.91,Medium
AAA,2013J,2358969,373,22,33,16.95,Low
AAA,2013J,2364471,7182,257,102,27.95,High
AAA,2013J,2365101,0,0,0,0.0,No Activity
AAA,2013J,2367155,2148,93,86,23.1,Medium
AAA,2013J,2369266,2146,70,81,30.66,Medium
AAA,2013J,2376496,749,83,89,9.02,Low
AAA,2013J,2391984,818,44,45,18.59,Low
AAA,2013J,2411661,574,23,43,24.96,Low
AAA,2013J,2411778,1497,42,41,35.64,Medium
AAA,2013J,2412002,3344,202,101,16.55,High
AAA,2013J,2412967,2458,166,76,14.81,High
AAA,2013J,2429854,655,34,34,19.26,Low
AAA,2013J,2437837,2684,101,88,26.57,High
AAA,2013J,2449878,622,39,87,15.95,Low
AAA,2013J,2456480,183,21,24,8.71,Low
AAA,2013J,2457256,1611,94,68,17.14,Medium
AAA,2013J,2458355,4187,229,86,18.28,High
AAA,2013J,2460080,3424,177,92,19.34,High
AAA,2013J,2461190,967,53,54,18.25,Low
AAA,2013J,2469673,523,33,50,15.85,Low
AAA,2013J,2470694,2176,110,95,19.78,Medium
AAA,2013J,2479954,323,43,31,7.51,Low
AAA,2013J,2481901,1949,97,71,20.09,Medium
AAA,2013J,2482700,1616,111,72,14.56,Medium
AAA,2013J,2486127,1690,99,67,17.07,Medium
AAA,2013J,2498700,2864,150,96,19.09,High
AAA,2013J,2516503,3070,198,86,15.51,High
AAA,2013J,2518069,1617,97,78,16.67,Medium
AAA,2013J,2521459,1078,75,57,14.37,Low
AAA,2013J,2523736,470,76,43,6.18,Low
AAA,2013J,2529279,1189,64,67,18.58,Low
AAA,2013J,2532302,1216,62,66,19.61,Medium
AAA,2013J,2536991,1080,95,50,11.37,Low
AAA,2013J,2542724,228,9,26,25.33,Low
AAA,2013J,2550279,2809,166,95,16.92,High
AAA,2013J,2551220,1327,135,65,9.83,Medium
AAA,2013J,2552472,519,13,27,39.92,Low
AAA,2013J,2555340,4441,171,88,25.97,High
AAA,2013J,2557283,7262,248,103,29.28,High
AAA,2013J,2559575,650,51,58,12.75,Low
AAA,2013J,2562034,248,17,21,14.59,Low
AAA,2013J,2566163,1591,83,77,19.17,Medium
AAA,2013J,2566592,1359,82,80,16.57,Medium
AAA,2013J,2569324,26,3,4,8.67,Low
AAA,2013J,2574528,988,81,62,12.2,Low
AAA,2013J,2574583,1890,129,78,14.65,Medium
AAA,2013J,2576122,250,14,26,17.86,Low
AAA,2013J,2578995,1326,135,71,9.82,Medium
AAA,2013J,2586560,2905,121,85,24.01,High
AAA,2013J,2594139,1868,56,62,33.36,Medium
AAA,2013J,2598871,2049,123,85,16.66,Medium
AAA,2013J,2599352,1160,76,68,15.26,Low
AAA,2013J,2600688,582,31,45,18.77,Low
AAA,2013J,2606098,491,48,46,10.23,Low
AAA,2013J,2613116,1181,60,61,19.68,Low
AAA,2013J,2617002,1473,86,74,17.13,Medium
AAA,2013J,2620584,92,5,17,18.4,Low
AAA,2013J,2639449,797,46,57,17.33,Low
AAA,2013J,2639540,1964,132,82,14.88,Medium
AAA,2013J,2639641,2042,151,71,13.52,Medium
AAA,2013J,2641155,4109,216,91,19.02,High
AAA,2013J,2643002,2434,107,111,22.75,High
AAA,2013J,2645733,1596,125,87,12.77,Medium
AAA,2013J,2649826,5974,211,104,28.31,High
AAA,2013J,2650282,641,56,72,11.45,Low
AAA,2013J,2664024,808,72,62,11.22,Low
AAA,2013J,2666246,612,46,55,13.3,Low
AAA,2013J,2669816,280,30,35,9.33,Low
AAA,2013J,2671132,3720,121,93,30.74,High
AAA,2013J,2676809,309,26,31,11.88,Low
AAA,2013J,2678643,2287,105,100,21.78,Medium
AAA,2013J,2685865,2815,202,79,13.94,High
AAA,2013J,2688067,289,12,38,24.08,Low
AAA,2013J,2689958,3929,257,90,15.29,High
AAA,2013J,2691206,2297,193,91,11.9,Medium
AAA,2013J,2691244,472,76,43,6.21,Low
AAA,2013J,2694424,4218,206,68,20.48,High
AAA,2013J,2698257,758,69,61,10.99,Low
AAA,2014J,6516,2791,159,84,17.55,High
AAA,2014J,24734,499,56,50,8.91,Low
AAA,2014J,26192,2223,118,69,18.84,High
AAA,2014J,28061,1590,148,82,10.74,Medium
AAA,2014J,31600,429,19,28,22.58,Low
AAA,2014J,46844,340,46,40,7.39,Low
AAA,2014J,52765,4938,190,94,25.99,High
AAA,2014J,55104,1480,75,59,19.73,Medium
AAA,2014J,58071,3648,149,107,24.48,High
AAA,2014J,58316,1295,102,50,12.7,Medium
AAA,2014J,62487,683,54,49,12.65,Low
AAA,2014J,63165,912,87,46,10.48,Low
AAA,2014J,65002,5,2,1,2.5,Low
AAA,2014J,70011,6396,227,94,28.18,High
AAA,2014J,75255,950,79,50,12.03,Low
AAA,2014J,79403,1782,76,61,23.45,Medium
AAA,2014J,85092,665,32,48,20.78,Low
AAA,2014J,85144,656,75,48,8.75,Low
AAA,2014J,85302,2280,127,80,17.95,High
AAA,2014J,87431,802,29,49,27.66,Low
AAA,2014J,94961,901,78,43,11.55,Low
AAA,2014J,95755,381,43,24,8.86,Low
AAA,2014J,101116,1769,126,64,14.04,Medium
AAA,2014J,107489,3722,184,84,20.23,High
AAA,2014J,108872,1377,83,64,16.59,Medium
AAA,2014J,109155,3019,135,83,22.36,High
AAA,2014J,111512,439,21,34,20.9,Low
AAA,2014J,117818,1695,98,77,17.3,Medium
AAA,2014J,119902,2590,81,79,31.98,High
AAA,2014J,121349,2259,98,72,23.05,High
AAA,2014J,124064,2042,162,61,12.6,Medium
AAA,2014J,125018,2195,121,59,18.14,High
AAA,2014J,129955,877,77,36,11.39,Low
AAA,2014J,130034,1831,103,72,17.78,Medium
AAA,2014J,130547,1252,82,70,15.27,Medium
AAA,2014J,130636,332,20,46,16.6,Low
AAA,2014J,131390,157,9,22,17.44,Low
AAA,2014J,133816,4000,128,79,31.25,High
AAA,2014J,133922,574,58,47,9.9,Low
AAA,2014J,135335,16,5,4,3.2,Low
AAA,2014J,135400,323,22,25,14.68,Low
AAA,2014J,135471,2291,127,88,18.04,High
AAA,2014J,139033,790,60,55,13.17,Low
AAA,2014J,141377,613,34,55,18.03,Low
AAA,2014J,141506,415,26,26,15.96,Low
AAA,2014J,146503,368,65,30,5.66,Low
AAA,2014J,147756,1107,80,67,13.84,Medium
AAA,2014J,148993,1948,145,54,13.43,Medium
AAA,2014J,149741,2342,102,84,22.96,High
AAA,2014J,149962,141,17,14,8.29,Low
AAA,2014J,151587,166,27,22,6.15,Low
AAA,2014J,152668,765,34,43,22.5,Low
AAA,2014J,155984,1737,105,74,16.54,Medium
AAA,2014J,158707,4746,98,67,48.43,High
AAA,2014J,159954,877,71,44,12.35,Low
AAA,2014J,164944,1300,121,47,10.74,Medium
AAA,2014J,165226,1062,30,41,35.4,Low
AAA,2014J,167961,2129,124,76,17.17,Medium
AAA,2014J,174024,812,38,44,21.37,Low
AAA,2014J,174094,4841,222,85,21.81,High
AAA,2014J,174745,1610,46,65,35.0,Medium
AAA,2014J,175447,3779,166,86,22.77,High
AAA,2014J,175772,3018,72,49,41.92,High
AAA,2014J,183057,833,66,48,12.62,Low
AAA,2014J,185350,236,30,20,7.87,Low
AAA,2014J,188278,3063,162,77,18.91,High
AAA,2014J,199636,1836,90,83,20.4,Medium
AAA,2014J,199897,2135,134,75,15.93,High
AAA,2014J,200804,930,60,65,15.5,Low
AAA,2014J,205494,1114,59,61,18.88,Medium
AAA,2014J,228021,4028,194,86,20.76,High
AAA,2014J,228383,2386,91,77,26.22,High
AAA,2014J,232307,702,37,56,18.97,Low
AAA,2014J,235068,2811,148,71,18.99,High
AAA,2014J,235507,1067,128,69,8.34,Medium
AAA,2014J,236875,201,40,26,5.03,Low
AAA,2014J,237274,2025,164,82,12.35,Medium
AAA,2014J,243510,549,39,43,14.08,Low
AAA,2014J,244246,1365,99,53,13.79,Medium
AAA,2014J,248581,2883,135,90,21.36,High
AAA,2014J,252073,865,73,55,11.85,Low
AAA,2014J,254625,1987,114,60,17.43,Medium
AAA,2014J,258587,6609,205,87,32.24,High
AAA,2014J,260355,0,0,0,0.0,No Activity
AAA,2014J,260623,1178,86,55,13.7,Medium
AAA,2014J,263251,2485,102,69,24.36,High
AAA,2014J,263543,1594,155,66,10.28,Medium
AAA,2014J,263952,1444,95,77,15.2,Medium
AAA,2014J,266524,359,38,40,9.45,Low
AAA,2014J,268733,3,1,1,3.0,Low
AAA,2014J,273346,2080,143,75,14.55,Medium
AAA,2014J,274947,251,26,25,9.65,Low
AAA,2014J,275674,2090,117,60,17.86,Medium
AAA,2014J,275792,605,60,46,10.08,Low
AAA,2014J,277123,537,37,45,14.51,Low
AAA,2014J,277880,12,5,3,2.4,Low
AAA,2014J,281077,895,74,55,12.09,Low
AAA,2014J,281636,2682,143,84,18.76,High
AAA,2014J,285315,1157,57,56,20.3,Medium
AAA,2014J,287040,2267,113,91,20.06,High
AAA,2014J,287204,1845,81,81,22.78,Medium
AAA,2014J,287210,3275,212,79,15.45,High
AAA,2014J,288994,134,4,13,33.5,Low
AAA,2014J,289449,1336,107,78,12.49,Medium
AAA,2014J,290164,5805,166,121,34.97,High
AAA,2014J,292525,311,26,43,11.96,Low
AAA,2014J,292775,1859,109,74,17.06,Medium
AAA,2014J,293824,7901,261,86,30.27,High
AAA,2014J,294496,1422,147,59,9.67,Medium
AAA,2014J,294655,2219,132,72,16.81,High
AAA,2014J,295060,1097,126,38,8.71,Medium
AAA,2014J,295075,1642,53,64,30.98,Medium
AAA,2014J,296424,1695,141,69,12.02,Medium
AAA,2014J,298034,1681,97,71,17.33,Medium
AAA,2014J,298838,1604,118,73,13.59,Medium
AAA,2014J,301967,193,32,25,6.03,Low
AAA,2014J,302476,1766,133,68,13.28,Medium
AAA,2014J,303521,7163,181,105,39.57,High
AAA,2014J,303985,381,24,27,15.88,Low
AAA,2014J,304465,3553,194,100,18.31,High
AAA,2014J,306646,144,19,18,7.58,Low
AAA,2014J,309142,560,46,48,12.17,Low
AAA,2014J,310412,2339,110,72,21.26,High
AAA,2014J,311235,1168,53,69,22.04,Medium
AAA,2014J,311659,112,7,20,16.0,Low
AAA,2014J,313937,6965,243,97,28.66,High
AAA,2014J,315076,1435,109,69,13.17,Medium
AAA,2014J,315744,4574,163,108,28.06,High
AAA,2014J,323370,2141,112,103,19.12,High
AAA,2014J,323805,0,0,0,0.0,No Activity
AAA,2014J,328024,2444,125,74,19.55,High
AAA,2014J,328734,0,0,0,0.0,No Activity
AAA,2014J,329659,487,29,62,16.79,Low
AAA,2014J,330594,1043,120,57,8.69,Low
AAA,2014J,331358,4212,165,105,25.53,High
AAA,2014J,332884,1648,145,97,11.37,Medium
AAA,2014J,334441,283,51,24,5.55,Low
AAA,2014J,335247,604,57,44,10.6,Low
AAA,2014J,335764,1642,114,58,14.4,Medium
AAA,2014J,337748,93,6,15,15.5,Low
AAA,2014J,338407,270,27,27,10.0,Low
AAA,2014J,341876,1784,72,78,24.78,Medium
AAA,2014J,342007,2298,146,81,15.74,High
AAA,2014J,345440,165,21,27,7.86,Low
AAA,2014J,345519,1141,89,65,12.82,Medium
AAA,2014J,346118,700,46,36,15.22,Low
AAA,2014J,348275,545,38,37,14.34,Low
AAA,2014J,348807,425,35,51,12.14,Low
AAA,2014J,350156,560,48,46,11.67,Low
AAA,2014J,350939,1427,103,60,13.85,Medium
AAA,2014J,351336,944,116,56,8.14,Low
AAA,2014J,353665,398,44,37,9.05,Low
AAA,2014J,354170,945,82,43,11.52,Low
AAA,2014J,356170,768,42,54,18.29,Low
AAA,2014J,358182,1901,126,69,15.09,Medium
AAA,2014J,364957,1638,111,71,14.76,Medium
AAA,2014J,369834,1265,117,68,10.81,Medium
AAA,2014J,371710,2960,125,71,23.68,High
AAA,2014J,373872,1528,71,60,21.52,Medium
AAA,2014J,375260,829,157,69,5.28,Low
AAA,2014J,375646,606,53,38,11.43,Low
AAA,2014J,377546,1660,144,78,11.53,Medium
AAA,2014J,381642,1290,109,51,11.83,Medium
AAA,2014J,382095,2392,157,54,15.24,High
AAA,2014J,383180,657,45,46,14.6,Low
AAA,2014J,383600,725,35,43,20.71,Low
AAA,2014J,383723,7532,237,107,31.78,High
AAA,2014J,384203,5184,213,76,24.34,High
AAA,2014J,384725,4677,151,99,30.97,High
AAA,2014J,387533,1096,49,65,22.37,Medium
AAA,2014J,387954,532,14,19,38.0,Low
AAA,2014J,388147,441,29,43,15.21,Low
AAA,2014J,390890,358,51,35,7.02,Low
