code_module,code_presentation,activity_type,total_clicks,unique_students,unique_sites,avg_clicks_per_student
BBB,2014J,quiz,168160,1402,4,119.94
BBB,2014J,resource,73980,1885,104,39.25
BBB,2014J,subpage,59507,1835,9,32.43
BBB,2014J,url,3406,1262,6,2.7
CCC,2014B,forumng,255874,1391,8,183.95
CCC,2014B,homepage,313145,1679,1,186.51
CCC,2014B,oucollaborate,2604,456,1,5.71
CCC,2014B,oucontent,207005,1431,34,144.66
CCC,2014B,page,1850,620,2,2.98
CCC,2014B,quiz,856194,1588,16,539.16
CCC,2014B,resource,87066,1619,78,53.78
CCC,2014B,subpage,154400,1612,27,95.78
CCC,2014B,url,11039,1536,13,7.19
CCC,2014J,forumng,387220,1904,8,203.37
CCC,2014J,homepage,442887,2300,1,192.56
CCC,2014J,oucollaborate,7218,753,1,9.59
CCC,2014J,oucontent,309497,1951,58,158.64
CCC,2014J,page,2338,833,2,2.81
CCC,2014J,quiz,1307916,2146,16,609.47
CCC,2014J,resource,130780,2229,85,58.67
CCC,2014J,subpage,188174,2189,30,85.96
CCC,2014J,url,16942,2038,19,8.31
DDD,2013B,externalquiz,22962,1103,7,20.82
DDD,2013B,forumng,313238,1095,10,286.06
DDD,2013B,glossary,11545,303,1,38.1
DDD,2013B,homepage,375155,1211,1,309.79
DDD,2013B,oucontent,163463,1164,6,140.43
DDD,2013B,ouelluminate,13565,839,3,16.17
DDD,2013B,ouwiki,88259,978,9,90.24
DDD,2013B,page,1536,681,1,2.26
DDD,2013B,resource,73832,1181,168,62.52
DDD,2013B,subpage,256158,1194,113,214.54
DDD,2013B,url,67754,1187,89,57.08
DDD,2013J,externalquiz,18884,1595,7,11.84
DDD,2013J,forumng,447651,1585,13,282.43
DDD,2013J,glossary,21102,405,1,52.1
DDD,2013J,homepage,455896,1767,1,258.01
DDD,2013J,oucollaborate,16260,1194,4,13.62
DDD,2013J,oucontent,219872,1726,13,127.39
DDD,2013J,ouwiki,118042,1431,4,82.49
DDD,2013J,resource,83943,1666,176,50.39
DDD,2013J,subpage,334047,1732,193,192.87
DDD,2013J,url,41517,1608,44,25.82
DDD,2014B,externalquiz,7873,881,7,8.94
DDD,2014B,forumng,220969,992,10,222.75
DDD,2014B,glossary,10731,210,1,51.1
DDD,2014B,homepage,235533,1115,1,211.24
DDD,2014B,oucollaborate,8454,730,5,11.58
DDD,2014B,oucontent,124606,1091,13,114.21
DDD,2014B,ouwiki,69251,901,2,76.86
DDD,2014B,resource,55746,1070,175,52.1
DDD,2014B,subpage,191376,1093,192,175.09
DDD,2014B,url,23118,992,41,23.3
DDD,2014J,externalquiz,14573,1303,5,11.18
DDD,2014J,forumng,511517,1442,10,354.73
DDD,2014J,glossary,19958,845,2,23.62
DDD,2014J,homepage,366622,1645,1,222.87
DDD,2014J,oucollaborate,28676,1149,5,24.96
DDD,2014J,oucontent,178390,1587,13,112.41
DDD,2014J,ouwiki,315,37,1,8.51
DDD,2014J,resource,88123,1566,169,56.27
DDD,2014J,subpage,198401,1582,109,125.41
DDD,2014J,url,31176,1403,46,22.22
EEE,2013J,dualpane,4451,818,1,5.44
EEE,2013J,forumng,332151,890,4,373.2
EEE,2013J,homepage,244595,964,1,253.73
EEE,2013J,oucollaborate,1550,390,1,3.97
EEE,2013J,oucontent,565105,948,47,596.1
EEE,2013J,ouwiki,171503,669,2,256.36
EEE,2013J,page,43,33,4,1.3
EEE,2013J,quiz,130148,911,2,142.86
EEE,2013J,resource,18333,820,33,22.36
EEE,2013J,subpage,31563,898,6,35.15
EEE,2013J,url,36511,881,6,41.44
EEE,2014B,dualpane,189,103,1,1.83
EEE,2014B,forumng,122284,565,4,216.43
EEE,2014B,homepage,136294,623,1,218.77
EEE,2014B,oucollaborate,1518,368,2,4.13
EEE,2014B,oucontent,342875,617,45,555.71
EEE,2014B,ouwiki,97527,400,2,243.82
EEE,2014B,page,316,113,4,2.8
EEE,2014B,quiz,72724,600,2,121.21
EEE,2014B,resource,14130,507,31,27.87
EEE,2014B,subpage,19931,573,6,34.78
EEE,2014B,url,24250,576,6,42.1
EEE,2014J,dualpane,231,138,1,1.67
EEE,2014J,forumng,338221,997,4,339.24
EEE,2014J,homepage,273636,1095,1,249.9
EEE,2014J,oucollaborate,3852,675,4,5.71
EEE,2014J,oucontent,606747,1077,44,563.37
EEE,2014J,ouwiki,188909,777,3,243.13
EEE,2014J,page,520,197,3,2.64
EEE,2014J,quiz,119900,1016,2,118.01
EEE,2014J,resource,19960,907,36,22.01
EEE,2014J,subpage,31776,990,6,32.1
EEE,2014J,url,32484,991,6,32.78
FFF,2013B,dataplus,10790,589,5,18.32
FFF,2013B,dualpane,6055,868,6,6.98
FFF,2013B,forumng,568420,1480,4,384.07
FFF,2013B,glossary,843,143,1,5.9
FFF,2013B,homepage,586632,1510,1,388.5
FFF,2013B,oucontent,1595921,1489,107,1071.81
FFF,2013B,ouelluminate,24030,1211,15,19.84
FFF,2013B,ouwiki,38829,1221,6,31.8
FFF,2013B,page,17012,1445,26,11.77
FFF,2013B,questionnaire,15033,898,14,16.74
FFF,2013B,quiz,860201,1359,11,632.97
FFF,2013B,resource,54980,1448,125,37.97
FFF,2013B,subpage,395518,1493,54,264.91
FFF,2013B,url,45791,1434,125,31.93
FFF,2013J,dataplus,12369,655,5,18.88
FFF,2013J,dualpane,8158,1019,6,8.01
FFF,2013J,folder,3531,1205,1,2.93
FFF,2013J,forumng,746882,1986,6,376.07
FFF,2013J,glossary,2595,227,1,11.43
FFF,2013J,homepage,718737,2096,1,342.91
FFF,2013J,oucollaborate,8804,1228,15,7.17
FFF,2013J,oucontent,1824036,2060,107,885.45
FFF,2013J,ouwiki,46473,1622,8,28.65
FFF,2013J,page,19757,1973,26,10.01
FFF,2013J,questionnaire,16934,1118,14,15.15
FFF,2013J,quiz,1124239,1841,11,610.67
FFF,2013J,repeatactivity,7,2,3,3.5
FFF,2013J,resource,72930,1981,136,36.81
FFF,2013J,subpage,465704,2058,54,226.29
FFF,2013J,url,45283,1875,132,24.15
FFF,2014B,dataplus,5989,358,5,16.73
FFF,2014B,dualpane,514,242,3,2.12
FFF,2014B,folder,1889,729,1,2.59
FFF,2014B,forumng,352849,1285,5,274.59
FFF,2014B,glossary,997,120,1,8.31
FFF,2014B,homepage,396097,1363,1,290.61
FFF,2014B,oucollaborate,5010,698,15,7.18
FFF,2014B,oucontent,1129340,1342,101,841.54
FFF,2014B,ouwiki,28879,1026,6,28.15
FFF,2014B,page,11907,1264,18,9.42
FFF,2014B,questionnaire,8901,657,14,13.55
FFF,2014B,quiz,686531,1193,11,575.47
FFF,2014B,resource,43349,1278,109,33.92
FFF,2014B,subpage,274749,1343,52,204.58
FFF,2014B,url,28618,1205,133,23.75
FFF,2014J,dataplus,14922,724,5,20.61
FFF,2014J,dualpane,1118,519,2,2.15
FFF,2014J,forumng,690009,1990,6,346.74
FFF,2014J,glossary,1707,211,1,8.09
FFF,2014J,homepage,716869,2115,1,338.95
FFF,2014J,htmlactivity,9239,1918,4,4.82
FFF,2014J,oucollaborate,11974,1246,14,9.61
FFF,2014J,oucontent,2017919,2055,103,981.96
FFF,2014J,ouwiki,46525,1554,6,29.94
FFF,2014J,page,8352,1569,16,5.32
FFF,2014J,questionnaire,17166,1119,15,15.34
FFF,2014J,quiz,1160055,1833,11,632.87
FFF,2014J,repeatactivity,2,1,2,2.0
FFF,2014J,resource,65816,1979,80,33.26
FFF,2014J,subpage,471788,2054,51,229.69
FFF,2014J,url,48348,1862,132,25.97
GGG,2013J,forumng,95580,743,2,128.64
GGG,2013J,glossary,3233,442,1,7.31
GGG,2013J,homepage,109997,895,1,122.9
GGG,2013J,oucontent,178866,864,24,207.02
GGG,2013J,quiz,79536,769,9,103.43
GGG,2013J,resource,23405,880,95,26.6
GGG,2013J,subpage,18474,869,5,21.26
GGG,2014B,forumng,87288,590,2,147.95
GGG,2014B,glossary,1831,347,1,5.28
GGG,2014B,homepage,90204,772,1,116.84
GGG,2014B,oucontent,142462,745,25,191.22
GGG,2014B,quiz,63464,630,9,100.74
GGG,2014B,resource,23063,753,81,30.63
GGG,2014B,subpage,16853,738,5,22.84
GGG,2014J,forumng,56414,559,2,100.92
GGG,2014J,glossary,2944,342,1,8.61
GGG,2014J,homepage,83253,697,1,119.44
GGG,2014J,oucontent,156045,668,26,233.6
GGG,2014J,quiz,57337,590,8,97.18
GGG,2014J,resource,26147,689,63,37.95
GGG,2014J,subpage,17488,673,5,25.99
